modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
ministral,"Identity,_Intent_and_Behaviour",gunning_fox,10,19.03369,2.25788,18.8638,0.94873,18.31721,19.26594,15.0265,24.23441
ministral,"Identity,_Intent_and_Behaviour",brunet,10,12.51994,1.07177,12.4166,1.33057,11.81322,13.14379,10.88124,14.34199
ministral,"Identity,_Intent_and_Behaviour",honore,10,851.33491,122.69714,847.36697,154.48316,750.84152,905.32469,689.62118,1071.03323
ministral,Tree_of_Thought,flesch,9,49.14689,10.39568,49.03309,6.34005,48.35053,54.69058,26.9176,61.453
ministral,Tree_of_Thought,words_per_sentence,9,13.56697,4.38666,13.45,2.01556,11.94444,13.96,6.69231,21.33333
ministral,Tree_of_Thought,sentences_per_paragraph,9,4.41555,7.76184,1.56522,1.65,1.35,3.0,1.0,25.0
ministral,Tree_of_Thought,syllables_per_content_word,9,2.76929,0.20083,2.76163,0.04884,2.73446,2.7833,2.5,3.14474
ministral,Tree_of_Thought,cw_freq_brwac,9,4.14702,0.58059,4.03191,0.90411,3.71943,4.62354,3.4937,5.01573
ministral,Tree_of_Thought,noun_ratio,9,0.38288,0.07834,0.4052,0.13717,0.30469,0.44186,0.2766,0.49811
ministral,Tree_of_Thought,ttr,9,0.66297,0.05329,0.67235,0.04964,0.63121,0.68085,0.56841,0.74848
ministral,Tree_of_Thought,gunning_fox,9,19.74754,2.3265,19.65509,1.3421,18.58383,19.92593,17.23631,25.40833
ministral,Tree_of_Thought,brunet,9,11.90539,1.31904,11.83401,2.23861,10.71531,12.95392,9.84977,13.51921
ministral,Tree_of_Thought,honore,9,740.0191,203.26178,732.9426,112.86064,676.3905,789.25114,365.95155,1026.3159
ministral,Zero_Shot,flesch,10,62.30924,10.38998,59.50006,10.69244,56.94925,67.64169,50.0649,84.41139
ministral,Zero_Shot,words_per_sentence,10,11.27997,3.02314,10.82562,3.14032,9.39172,12.53204,6.90204,17.13333
